tiempo,paso,n_part
14.909045,0.019,0
14.929046,0.02,0
14.949046,0.02,0
14.969047,0.02,0
14.988047,0.019,0
15.008047,0.02,0
15.028048,0.02,1
15.049047,0.021,1
15.070047,0.021,1
15.088047,0.018,1
15.109047,0.021,1
15.128047,0.019,1
15.148047,0.02,1
15.169047,0.021,1
15.190047,0.021,1
15.208047,0.018,1
15.229047,0.021,1
15.248047,0.019,1
15.271047,0.023,1
15.290047,0.019,1
15.308046,0.018,2
15.328047,0.02,2
15.349047,0.021,2
15.369047,0.02,2
15.388047,0.019,2
15.410048,0.022,2
15.430048,0.02,2
15.447048,0.017,2
15.470048,0.023,2
15.489048,0.019,2
15.511048,0.022,2
15.5280485,0.017,3
15.551048,0.023,3
15.5680485,0.017,3
15.588049,0.02,3
15.610049,0.022,3
15.629049,0.019,3
15.648049,0.019,3
15.669049,0.021,3
15.690049,0.021,3
15.708049,0.018,3
15.728049,0.02,3
15.75005,0.022,3
15.768049,0.018,3
15.78805,0.02,3
15.81005,0.022,3
15.83105,0.021,3
15.85105,0.02,52
15.868051,0.017,52
15.888051,0.02,52
15.9080515,0.02,52
15.928052,0.02,52
15.949052,0.021,52
15.968052,0.019,52
15.988052,0.02,52
16.009052,0.021,52
16.031052,0.022,52
16.049051,0.018,52
16.069052,0.02,52
16.090052,0.021,52
16.108051,0.018,52
16.128052,0.02,101
16.149052,0.021,101
16.16805,0.019,101
16.188051,0.02,101
16.208052,0.02,101
16.229052,0.021,101
16.24805,0.019,101
16.26905,0.021,101
16.28805,0.019,101
16.30905,0.021,101
16.328049,0.019,101
16.35105,0.023,150
16.37205,0.021,150
16.398048,0.026,150
16.409048,0.011,150
16.429049,0.02,150
16.449049,0.02,150
16.468048,0.019,100
16.488049,0.02,100
16.51105,0.023,100
16.529049,0.018,100
16.548048,0.019,100
16.570047,0.022,100
16.588047,0.018,100
16.609047,0.021,100
16.629047,0.02,100
16.648046,0.019,100
16.668047,0.02,100
16.689047,0.021,100
16.708046,0.019,100
16.729046,0.021,100
16.749046,0.02,50
16.770046,0.021,50
16.788046,0.018,50
16.810045,0.022,50
16.828045,0.018,50
16.849045,0.021,50
16.868044,0.019,50
16.889044,0.021,50
16.909044,0.02,50
16.929045,0.02,50
16.949045,0.02,50
16.968044,0.019,0
16.990044,0.022,0
17.009043,0.019,0
17.030043,0.021,0
17.048042,0.018,0
17.069042,0.021,0
17.088041,0.019,0
17.109041,0.021,0
17.129042,0.02,0
17.149042,0.02,0
17.168041,0.019,0
17.19004,0.022,0
17.20904,0.019,0
17.22904,0.02,0
17.25004,0.021,0
17.26804,0.018,0
17.28804,0.02,0
17.30804,0.02,0
17.328041,0.02,0
17.351042,0.023,0
17.369041,0.018,0
17.389042,0.02,0
17.408041,0.019,0
17.431042,0.023,0
17.449041,0.018,1
17.47104,0.022,1
17.48804,0.017,1
17.50904,0.021,1
17.53004,0.021,1
17.54904,0.019,1
17.56904,0.02,1
17.58904,0.02,1
17.60804,0.019,2
17.62904,0.021,2
17.64904,0.02,2
17.66804,0.019,2
17.68904,0.021,2
17.70904,0.02,2
17.73004,0.021,2
17.75004,0.02,3
17.76804,0.018,3
17.79104,0.023,3
17.80804,0.017,3
17.83204,0.024,3
17.848042,0.016,3
17.87004,0.022,3
17.890041,0.02,3
17.90904,0.019,3
17.92804,0.019,3
17.94904,0.021,3
